CustomerID,Recency,Frequency,Monetary,CustomerSegment,ChurnRisk
12346.0,325,2,0.0,Low Value,High Risk
12347.0,1,7,4310.0,High Value,Low Risk
12348.0,74,4,1797.24,High Value,Medium Risk
12349.0,18,1,1757.55,High Value,Low Risk
12350.0,309,1,334.4,Low Value,High Risk
12352.0,35,11,1545.41,High Value,Medium Risk
12353.0,203,1,89.0,Low Value,High Risk
12354.0,231,1,1079.4,Medium Value,High Risk
12355.0,213,1,459.4,Medium Value,High Risk
12356.0,22,3,2811.43,High Value,Low Risk
12357.0,32,1,6207.67,High Value,Medium Risk
12358.0,1,2,1168.06,High Value,Low Risk
12359.0,7,6,6182.9800000000005,High Value,Low Risk
12360.0,51,3,2662.06,High Value,Medium Risk
12361.0,286,1,189.9,Low Value,High Risk
12362.0,2,13,5154.58,High Value,Low Risk
12363.0,109,2,552.0,Medium Value,High Risk
12364.0,7,4,1313.1,High Value,Low Risk
12365.0,290,3,320.69,Low Value,High Risk
12367.0,3,1,168.9,Low Value,Low Risk
12370.0,50,4,3541.94,High Value,Medium Risk
12371.0,44,2,1887.96,High Value,Medium Risk
12372.0,71,3,1298.04,High Value,Medium Risk
12373.0,310,1,364.6,Low Value,High Risk
12374.0,24,1,742.9300000000001,Medium Value,Low Risk
12375.0,2,3,455.42,Medium Value,Low Risk
12377.0,314,2,1628.12,High Value,High Risk
12378.0,129,1,4008.62,High Value,High Risk
12379.0,81,3,850.29,Medium Value,Medium Risk
12380.0,21,5,2720.56,High Value,Low Risk
12381.0,4,6,1803.96,High Value,Low Risk
12383.0,184,6,1839.31,High Value,High Risk
12384.0,28,3,566.16,Medium Value,Low Risk
12386.0,337,2,401.9,Medium Value,High Risk
12388.0,15,6,2780.66,High Value,Low Risk
12390.0,79,1,549.84,Medium Value,Medium Risk
12391.0,21,1,439.66,Medium Value,Low Risk
12393.0,71,4,1582.6000000000001,High Value,Medium Risk
12394.0,63,2,1272.48,High Value,Medium Risk
12395.0,15,15,2998.28,High Value,Low Risk
12397.0,35,2,2409.9,High Value,Medium Risk
12398.0,45,1,1635.6599999999999,High Value,Medium Risk
12399.0,118,4,1108.65,Medium Value,High Risk
12401.0,302,1,84.3,Low Value,High Risk
12402.0,322,1,225.6,Low Value,High Risk
12403.0,49,2,409.7,Medium Value,Medium Risk
12405.0,148,1,1710.39,High Value,High Risk
12406.0,21,3,3280.75,High Value,Low Risk
12407.0,49,5,1708.1200000000001,High Value,Medium Risk
12408.0,32,9,2842.57,High Value,Medium Risk
12409.0,78,7,11056.93,High Value,Medium Risk
12410.0,300,3,681.0799999999999,Medium Value,High Risk
12412.0,74,3,1226.88,High Value,Medium Risk
12413.0,66,5,694.15,Medium Value,Medium Risk
12414.0,216,3,562.41,Medium Value,High Risk
12415.0,23,26,123725.45,High Value,Low Risk
12417.0,2,12,3578.8,High Value,Low Risk
12418.0,112,1,668.58,Medium Value,High Risk
12420.0,63,1,600.39,Medium Value,Medium Risk
12421.0,15,5,806.27,Medium Value,Low Risk
12422.0,95,3,803.5600000000001,Medium Value,High Risk
12423.0,0,9,1849.11,High Value,Low Risk
12424.0,162,2,1760.96,High Value,High Risk
12425.0,77,1,777.2,Medium Value,Medium Risk
12426.0,194,1,582.73,Medium Value,High Risk
12427.0,11,5,708.37,Medium Value,Low Risk
12428.0,25,12,7877.2,High Value,Low Risk
12429.0,8,4,3750.4,High Value,Low Risk
12430.0,42,1,256.4,Low Value,Medium Risk
12431.0,35,18,6348.89,High Value,Medium Risk
12432.0,42,5,5059.32,High Value,Medium Risk
12433.0,0,7,13375.87,High Value,Low Risk
12434.0,84,4,765.19,Medium Value,Medium Risk
12435.0,79,2,7829.89,High Value,Medium Risk
12436.0,99,1,509.01,Medium Value,High Risk
12437.0,1,19,4896.66,High Value,Low Risk
12438.0,13,2,2906.85,High Value,Low Risk
12441.0,366,1,173.55,Low Value,
12442.0,2,1,172.06,Low Value,Low Risk
12444.0,20,5,5005.46,High Value,Low Risk
12445.0,21,1,133.4,Low Value,Low Risk
12446.0,57,1,1002.3100000000001,Medium Value,Medium Risk
12447.0,242,1,476.49,Medium Value,High Risk
12448.0,43,1,449.45,Medium Value,Medium Risk
12449.0,21,4,4067.29,High Value,Low Risk
12450.0,155,2,197.88,Low Value,High Risk
12451.0,10,6,8933.52,High Value,Low Risk
12452.0,16,3,428.57,Medium Value,Low Risk
12453.0,133,1,707.09,Medium Value,High Risk
12454.0,52,2,5.684341886080802e-14,Low Value,Medium Risk
12455.0,72,6,2466.86,High Value,Medium Risk
12456.0,43,4,3153.89,High Value,Medium Risk
12457.0,57,12,1917.78,High Value,Medium Risk
12458.0,70,2,947.4,Medium Value,Medium Risk
12461.0,93,2,826.88,Medium Value,High Risk
12462.0,1,4,1124.01,Medium Value,Low Risk
12463.0,45,7,1303.63,High Value,Medium Risk
12464.0,9,8,1212.05,High Value,Low Risk
12465.0,7,3,733.89,Medium Value,Low Risk
12468.0,142,3,724.0400000000001,Medium Value,High Risk
12471.0,1,49,18705.52,High Value,Low Risk
12472.0,30,13,6229.48,High Value,Low Risk
12473.0,28,9,2837.73,High Value,Low Risk
12474.0,16,30,7064.7699999999995,High Value,Low Risk
12475.0,53,1,723.38,Medium Value,Medium Risk
12476.0,0,20,6546.58,High Value,Low Risk
12477.0,22,9,13117.01,High Value,Low Risk
12478.0,3,1,680.99,Medium Value,Low Risk
12479.0,3,3,477.3,Medium Value,Low Risk
12480.0,27,4,3281.63,High Value,Low Risk
12481.0,22,11,5574.36,High Value,Low Risk
12483.0,16,13,2327.13,High Value,Low Risk
12484.0,32,8,4480.87,High Value,Medium Risk
12488.0,9,3,1298.66,High Value,Low Risk
12489.0,335,1,334.93,Low Value,High Risk
12490.0,4,10,5417.93,High Value,Low Risk
12491.0,38,1,460.40000000000003,Medium Value,Medium Risk
12492.0,62,2,263.21000000000004,Low Value,Medium Risk
12493.0,165,3,416.79,Medium Value,High Risk
12494.0,9,13,1139.3500000000001,Medium Value,Low Risk
12497.0,81,1,1043.1,Medium Value,Medium Risk
12498.0,20,3,403.70000000000005,Medium Value,Low Risk
12500.0,22,13,4206.27,High Value,Low Risk
12501.0,314,2,2089.68,High Value,High Risk
12502.0,95,5,3723.87,High Value,High Risk
12503.0,337,1,-1126.0,Low Value,High Risk
12504.0,17,4,114.0,Low Value,Low Risk
12505.0,300,1,-4.5,Low Value,High Risk
12506.0,232,1,73.5,Low Value,High Risk
12507.0,133,4,1258.06,High Value,High Risk
12508.0,25,2,397.88,Medium Value,Low Risk
12509.0,283,1,176.5,Low Value,High Risk
12510.0,142,2,982.5699999999999,Medium Value,High Risk
12512.0,65,2,132.18,Low Value,Medium Risk
12513.0,84,2,586.79,Medium Value,Medium Risk
12514.0,266,1,1017.68,Medium Value,High Risk
12515.0,352,1,383.7,Medium Value,High Risk
12516.0,77,2,1312.06,High Value,Medium Risk
12517.0,27,6,2443.65,High Value,Low Risk
12518.0,0,5,2056.89,High Value,Low Risk
12519.0,63,1,330.84,Low Value,Medium Risk
12520.0,78,6,2582.51,High Value,Medium Risk
12521.0,142,1,599.68,Medium Value,High Risk
12522.0,38,2,192.72,Low Value,Medium Risk
12523.0,1,13,1745.57,High Value,Low Risk
12524.0,8,8,4485.72,High Value,Low Risk
12526.0,0,3,1316.66,High Value,Low Risk
12527.0,81,3,348.71000000000004,Low Value,Medium Risk
12528.0,8,8,1922.28,High Value,Low Risk
12530.0,59,5,1623.63,High Value,Medium Risk
12531.0,14,1,125.22,Low Value,Low Risk
12532.0,29,1,349.83000000000004,Low Value,Low Risk
12534.0,130,1,1089.18,Medium Value,High Risk
12535.0,91,2,716.35,Medium Value,High Risk
12536.0,7,5,4106.82,High Value,Low Risk
12538.0,28,1,363.95,Low Value,Low Risk
12539.0,21,5,3852.5,High Value,Low Risk
12540.0,19,19,13309.039999999999,High Value,Low Risk
12541.0,29,3,981.18,Medium Value,Low Risk
12544.0,29,2,355.7,Low Value,Low Risk
12545.0,74,2,1000.39,Medium Value,Medium Risk
12546.0,46,3,1141.5,High Value,Medium Risk
12547.0,197,2,207.79999999999998,Low Value,High Risk
12548.0,165,1,95.19999999999999,Low Value,High Risk
12550.0,78,1,964.83,Medium Value,Medium Risk
12551.0,357,1,168.0,Low Value,High Risk
12552.0,38,2,437.82,Medium Value,Medium Risk
12553.0,7,14,3652.25,High Value,Low Risk
12556.0,49,2,599.56,Medium Value,Medium Risk
12557.0,15,5,11990.960000000001,High Value,Low Risk
12558.0,1,2,1.0658141036401503e-14,Low Value,Low Risk
12559.0,310,3,536.21,Medium Value,High Risk
12560.0,4,4,2101.39,High Value,Low Risk
12561.0,302,1,238.85,Low Value,High Risk
12562.0,7,7,3781.7400000000002,High Value,Low Risk
12564.0,260,1,456.9,Medium Value,High Risk
12565.0,281,2,131.17,Low Value,High Risk
12566.0,72,2,346.7,Low Value,Medium Risk
12567.0,22,11,9114.94,High Value,Low Risk
12569.0,1,35,4064.9900000000002,High Value,Low Risk
12571.0,39,2,519.61,Medium Value,Medium Risk
12572.0,8,3,1004.72,Medium Value,Low Risk
12573.0,226,1,160.54000000000002,Low Value,High Risk
12574.0,315,1,218.45,Low Value,High Risk
12576.0,35,6,1306.98,High Value,Medium Risk
12577.0,34,4,564.2,Medium Value,Medium Risk
12578.0,20,4,2753.36,High Value,Low Risk
12579.0,72,3,410.72,Medium Value,Medium Risk
12580.0,246,1,415.7,Medium Value,High Risk
12581.0,39,1,197.71,Low Value,Medium Risk
12582.0,238,2,511.36,Medium Value,High Risk
12583.0,2,18,7187.34,High Value,Low Risk
12584.0,3,18,1893.95,High Value,Low Risk
12585.0,233,4,1982.81,High Value,High Risk
12586.0,16,2,179.94000000000003,Low Value,Low Risk
12587.0,7,1,144.0,Low Value,Low Risk
12588.0,38,1,214.89999999999998,Low Value,Medium Risk
12589.0,28,2,646.68,Medium Value,Low Risk
12590.0,189,3,9861.38,High Value,High Risk
12591.0,316,1,452.84999999999997,Medium Value,High Risk
12592.0,91,2,437.6,Medium Value,High Risk
12593.0,108,3,418.09999999999997,Medium Value,High Risk
12594.0,37,11,3320.2200000000003,High Value,Medium Risk
12596.0,50,2,618.27,Medium Value,Medium Risk
12597.0,18,5,3683.13,High Value,Low Risk
12598.0,9,9,3002.68,High Value,Low Risk
12599.0,28,7,1032.58,Medium Value,Low Risk
12600.0,28,11,2581.04,High Value,Low Risk
12601.0,189,6,569.5600000000001,Medium Value,High Risk
12602.0,58,1,153.12,Low Value,Medium Risk
12603.0,21,1,739.1999999999999,Medium Value,Low Risk
12604.0,78,2,254.18,Low Value,Medium Risk
12605.0,364,1,-7.5,Low Value,High Risk
12607.0,57,2,3.552713678800501e-15,Low Value,Medium Risk
